review,sentiment,score
Çok kullanışlı. Fır fır döndürerek temizlendiği için yormuyor.,positive,0.9090979695320129
Esim severek kullaniyor.,positive,0.8752116560935974
Çok uygun ve çok kullanışlı tavsiye esikir,positive,0.8720455169677734
"Öncelikle üründen bağımsız, kutu üzerinde kurumuş kuş pisliği vardı. Bu satıcı ile ilgili bir sorun. Ürünü araştırarak aldım. Temiz ve kirli su hazinelerinin ayrı olması çok güzel. Mop döndükçe ünitedeki küçük fırçalar moptaki kıl tüy gibi şeyleri topluyor ve mop temiz kalıyor. Su boşaltmak için tıpayi çıkarmanız yeterli. Kalan suyu da zaten kovayı temizlerken dökebilirsiniz. Mopun metalimsi borusu çok sağlam değil. Aşırı güç uygulamayın. Özellikle belli bir egimde. Dik pozisyonunda sorun olacağını sanmam. Mop bezi cırt bantlı. Sokup yıkayıp kurulabilirsiniz.",neutral,0.7512927055358887
Çok memnun kaldım,positive,0.6533883213996887
Gayet kullanışlı. Sorun yok.,positive,0.6272885203361511
muadillerinden çok çok daha iyi.,positive,0.6709731221199036
Harika bir detay....,positive,0.7782713174819946
Ürünün performansı oldukça güzel 3 kademesi mevcut 1.kademe bile gayet yeterli 100 metrekare evi çok rahat 2 kez temizliyor. Gündelik temizlik için. Ağırlık bakımından çok hafif değil ve örgü tarzı halılarda biraz problem.Cihazın ucunda saçları toplamak için dönen bir fırçası var. Temizlemesi kolay sayılır dönen fırçayı yerinden çıkartıp dolanan saçları makasla kesip alıyorsunuz toz haznesini boşaltıyorsun ve bitti.,positive,0.8187524676322937
"Philips aqua plus dikey süpürge ürününü almadan önce birçok teknoloji mağazalarında dikey süpürgelerle ilgili detaylı bilgiler aldım ihtiyacım doğrultusunda en mükemmel ürünün Philips,in aqua plus modelinin olduğuna inandım.Süpürge konusunda ihtiyacım olan en önemli unsurunun ıslak zeminde kullanabilinir bir ürünle ilgiliydi, eşim bel fıtığı hastası onun için en doğru ürün aldığımı düşünüyorum ve ben de evi süpürürken keyif alabileceğim, eski tip süpürgelere nazaran şarjlı pratik bir noktadan bir noktaya taşırken zorlanmayacağım ve evin her tarafını kolaylıkla silip süpürebileceğim bir ürün olduğu için tercih ettim, muhteşem vakum özelliği sayesinde tüm noktaları son teknoloji ile donatılmış başlıklarıyla her tarafı silip süpürebileceğim bir ürünü tercih ettim, ürünü aldık evimizde deneyimledik ıslak zeminde olsun halı üzerine olsun pencere kenarları olsun tam beklediğim kalitede ,tek şarjla 80 dk ya kadar çalışma özllegi ve baslıgındaki ışıklar sayesinde gözle görünmeyen tozlarım görünmesini sağliyor , evde dur durak bilmez 4,5 yaşında bir çocuğumuz var haliyle parke üstüne kakaolu süt veya farklı meşrubatlar dökebiliyor aldığım aqua plus süpürge sayesinde bu tür olumsuz durumlarda en büyük yardımcım bu makine olacak, son teknoloji ile donatılmış şarj durumunu gösteren led ekranı ve aparatlarının kolaylıkla sökülmesi ıslak zemin başlığının altındaki bez parçasının her kullanımdan sonra makineye veya elde yıkanma olanağının olması ayrıca güzel, Amazon kargo hızına ayrıca değinmeden bu yorumu bitirmek istemiyorum amazon'a hızlı kargo için teşekkür ederim",positive,0.9444653391838074
Philips markasını çok sevsem de bu süpürgesinin alt haznesinden dolayı koltuk altlarına girmiyor. Tek canımı sıkan yanı bu oldu. Sulu temizliği olmasa da olurmuş. Toz haznesi üstte olaydı 10 numara olacaktı. Çekim gücü falan hepsi güzel. 3 modu var Normal modunda bayağı uzun soluklu temizlik yapılıyor.,neutral,0.5794796943664551
Ürünü 6 aydır kullanıyorum. Fiyat / performans canavarı kesinlikle pahalı versiyonlara almanıza gerek yok. Elimdeki mevcut phlips marka maraton süpürgenin bütün aparatlarını 300 tl ye aldığım 3D yazıcıyla yapılmış bir başlık sayesinde bu cihazlada kullanabiliyorum. Ayrıca alt kısımdaki başlığın içini açıp mevcut elektronik devre kartını LED li devre kartıyla değiştirdim ve ürün ışıklı oldu. Çekişi güvü bir ev için gayet yeterli. Tavsiye olunur.,positive,0.9778115153312683
