review,sentiment,score
İçerisinde pil yok güzel çalışıyor,neutral,0.6371701955795288
Paketleme gayet güzeldi. Ürün eksiksiz ve görselde göründüğü gibi.,positive,0.8141494989395142
Siparişim hızlı bir şekilde kargolandı ve bana ulaştı söylendiği gibi pilsiz geliyor bunu bilerek aldım elimde CR 2032 pil mevcuttu taktığım gibi çalıştı. Dışarıdan soğuk bir ortamdan geldiği için ortam sıcaklığını doğru ölçmesi için bir saat geçmesi gerekiyor onun ardından doğru ölçecektir. Elimde bir tane küçük dijital heifer marka saat var aynı zamanda sıcaklık ve nem gösteriyor onda küsüratı göstermiyor sadece yukarı yuvarlıyor gelen ürün 26.4 derece gösteriyorsa mesala bendeki saat de 27 derece gösteriyor nem i de aralarında %5 %7 oranında fark var doğru gösterdiğini düşünüyorum. Xiaomi alacaktım indirimdeyken fakat boyutu aşırı küçük diye bunu tercih ettim bunun büyüklüğü ideal yalnız nem in yazı boyutu sıcaklık derecesinin boyutundan daha büyük keşke tersi olsaydı.,positive,0.7015417218208313
"Cihaz beklediğim gibi çalışıyor. İçini açıp baktığımda devresi benim kullandığım diğer cihazlardan daha basit. Hali hazırda kullandığım 2 farklı marka cihazla karşılaştırdım;Nem ölçümünde düşükte %10 eksik, yüksekte %5 fazla gösterebiliyor. Sıcaklıkta ise 2–3 derece fark oluşabiliyor ama bu fiyatına kıyasla kabul edilebilir seviyede.Genel olarak memnunum, fiyatına göre gayet iyi bir ürün. Bir puanı, nem hassasiyeti tam isabetli olmadığı için kırdım. Yaklaşık değerleri doğru verdiği için alınabilir.",positive,0.852579653263092
Ürün işini yapıyor. 2 adet alındı. Satıcı gayet titiz ve paketleme güzeldi.,positive,0.5348488092422485
ne demek pil yok ismet,negative,0.7566387057304382
Ürün gayet güzel okunaklı işini yapıyor fiyat da uygun tavsiye ederim,positive,0.8675505518913269
Ürün iş görüyor elbette ama pili erken bitirdi. Sonra iyi pil taktım hala çalışmaya devam ediyor yaklaşık bir yıldır. Güzel ürün grafikler falan net göründüğü gibi.,neutral,0.6095064282417297
Orjinal uygun fiyat,positive,0.856986939907074
"Ürün güzel fiyat performans ürünü, ayrıca yanında gönderdiğiniz hediye için teşekkür ederim :) eşim çok sevdi",positive,0.8347369432449341
gayet güzel paketlenmiş. çok hızlı kargo 1 günde geldi. pillerini taktım çalışmaya başladı. ölçümü güzel. teşekkürler.,positive,0.9291356205940247
Yeni kullanmaya başladık ve gayet güzel çalışıyor.,positive,0.6364457607269287
"Merhaba,Ürün fiyat performans ürünü. Ölçüm doğruluğu yüksek. Plastik kalitesi düşük. Pil kapağı zaman zaman temassızlık yapıyor. Sürekli kullanıma uygun değil. Ama ev ortamı için uygun. Kutuyu açınca minik bir hediye sizi karşılıyor.",neutral,0.8892872929573059
Tam fiyatına göre bir ürün bence basit kullanışlı vücut ve ortam sıcaklığını ölçüyor umarım çabuk bozulmaz elinize aldığınızda çok basit görünsede iş görüyor. Kutu içeriğinde pil yeri olmasına rağmen pil koyulmamış,positive,0.5227295160293579
"Satin aldim hic çalışmadı ekran gelmedi, iade ettim. Tekrar satin aldim belki bozuk denk gelmistir diye, ikincisi de calismadi (yeni pil alarak denedim.)",negative,0.9803360104560852
çok iyi çok hızlı,positive,0.771485447883606
Hem ateş ölcer hem nesnelerin sıcaklığını ölçme modu var.,positive,0.6769309639930725
Kalite,positive,0.3632086217403412
Bitkiler için çok önemli bir ürün,neutral,0.4667283594608307
5 litre dedigi perlit 2 litre gelmiyor neye gore hesaplaniyor bilen aciklasin lutfen,negative,0.8064982295036316
Saglam ve eksiksiz kargo,positive,0.7585894465446472
Çok fazla kırıntı var içinde.,negative,0.6988644003868103
ürün 5 litre diyor.maksimum 1 litre yazık..,negative,0.9131367802619934
Ürün çok güzel paketleme güzel kargo iyi eve gelip teslim etti,positive,0.7565422058105469
Aküler kaliteli ve güzel. Bütün einhell ürünlerinde kullanılabiliyor. Alınabilir. Ben kullandım güzel. Yetkili servisi de ilgileniyor garantisini uzatabiliyorsunuz,positive,0.8692746162414551
yeni kullanmaya başladım ama başarılı,neutral,0.6514646410942078
4 amper batarya yetmez oldu bunu aşdık bakalım neler olacak?,neutral,0.5589502453804016
"Bileği biraz yoran bir ağırlığı var , ama yoğun iş yaparken sürekli şarj sorunu yaşamadan çalışmak isteyenler için 10 numara bir tercih",positive,0.8472718596458435
5.2 volt bataryalar fiyat performans açısından mantıklı. Elektrik süpürgesi ve hava ufleme cihazında kullanıyorum. Üretim yılı 2021 bilginize bu sebeple bir yıldızı sildim. Daha yeni bir batarya gönderilebilirdi.,neutral,0.7082210779190063
Hız ayarlı taşlama ve basınçlı yıkama için kullanıyorum. Tam performans çalışıyor cihazlarım.,positive,0.9367262125015259
O kadar çeşitli şekillerde kullanıyorum ki anlatamam mesela powerbank olarak :)şaka gibi aparat aldım ve yanımda taşıyorum sürekli matkaptan süpürgeye birçok ürünle birlikte kullanabilirsiniz.,positive,0.9372473955154419
Batterie molto potenti !ho fatto 45 minuti Non stop con decespugliatore,positive,0.6723134517669678
It's a good small price.,positive,0.6303719282150269
"Well made and fast delivery, thank you.",positive,0.9133601188659668
