review,sentiment,score
Sarı renkli olanından aldım. Hacimli olmasına rağmen taşıması kolay. Dış yüzeyi oldukça dayanıklı kaplama aşınmıyor. Soğuk içecekler için uygun. Gönül rahatlığı ile tavsiye ederim.,positive,0.9951403141021729
Vazgeçemediğim marka. Ürün de gayet başarılı,positive,0.9847190380096436
Seyahat esnasında çok su tüketiyorum oda sıcaklığında 20-25 derece arası tüketiyorum suyu ürünü 4 gündür kullanıyorum suyu sabah oda sıcaklığında koyduysam akşama kadar aynı üstünde 8 saat yazıyor ama rahat 10 saat aynı derecede kalıyor son kuruşuna kadar hak ediyor ücretini ihtiyacı olana kesinlikle tavsiye ederim iyi alışverişler,positive,0.9917398691177368
"Sıcak-soğuk kullanılabiliyor, memnunum. Sızdırma yapmıyor. Ürünü üzerindeki qr kodu ile kaydettirip ömür boyu garanti kapsamına alabiliyorsunuz. Kahve vs. gibi kokusu kalacak birşey saklıyorsanız termosta, ertesi gün sıcak suya biraz beyaz sirke ekleyip çalkalayıp dinlendirin kokusunu giderebilirsiniz.",positive,0.995486319065094
Bazen doldurunca içeceği taşırabiliyor ve çok fazla süre sıcak tutmuyot,neutral,0.9553762078285217
fiyatları uçtu yazık,negative,0.9132565259933472
Harika. Ben iş yerinde çay içmek için aldım. Özellikle büyük boy tercih ettim. Bir defa alıyorum soğumadan rahat rahat uzun bir süre içebiliyorum.,positive,0.9934307932853699
Bu aldığımız 4. stanley termos. Bundan öncekiler bu modelin bir küçüğünü. Bunda da sorun yok fakat kapağın sızdırma yapmaması için olan lastiği yerinden bir kaç kez çıktı. Onun dışında stanley kalitesi ve amazon teslimat kalitesi süper.,positive,0.9620463252067566
Realy good bottle,positive,0.9557446241378784
تستاهل كل ريال عملية تفتح بسرعة وتقفل بسرعة ونفس حجم حامل الاكواب فالسيارة وحجم مسكة اليد حتى لو يدك صغيره وجودة المنتج عالية,positive,0.7385950684547424
"Quite big, it's awesome when you have a hot drink because the thermos itself is not hot to burn your fingers, just a bit warm. Very good seal, very good for a long drive to keep your coffee hot/warm.",neutral,0.5412219762802124
